2026-02-28T01:11:47.249Z [startup] pid=48568 execPath=C:\Users\docrs\AppData\Local\Temp\3AHEGqiFewqZgLeTcc0GrBzl8mR\In-Accord Launcher.exe portableDir=E:\In-Accord-Apps\dist\launcher-build-win32
2026-02-28T01:12:41.617Z [build-seq] read E:\In-Accord-Apps\dist\launcher-build-win32\In-Accord.Launcher.build-seq.txt => 39
2026-02-28T01:12:43.617Z [build-seq] read E:\In-Accord-Apps\dist\launcher-build-win32\In-Accord.Launcher.build-seq.txt => 39
2026-02-28T01:12:45.627Z [build-seq] read E:\In-Accord-Apps\dist\launcher-build-win32\In-Accord.Launcher.build-seq.txt => 39
2026-02-28T01:12:47.640Z [build-seq] read E:\In-Accord-Apps\dist\launcher-build-win32\In-Accord.Launcher.build-seq.txt => 39
2026-02-28T01:12:49.641Z [build-seq] read E:\In-Accord-Apps\dist\launcher-build-win32\In-Accord.Launcher.build-seq.txt => 39
2026-02-28T01:12:51.642Z [build-seq] read E:\In-Accord-Apps\dist\launcher-build-win32\In-Accord.Launcher.build-seq.txt => 39
2026-02-28T01:12:53.649Z [build-seq] read E:\In-Accord-Apps\dist\launcher-build-win32\In-Accord.Launcher.build-seq.txt => 39
2026-02-28T01:12:55.653Z [build-seq] read E:\In-Accord-Apps\dist\launcher-build-win32\In-Accord.Launcher.build-seq.txt => 39
2026-02-28T01:12:57.667Z [build-seq] read E:\In-Accord-Apps\dist\launcher-build-win32\In-Accord.Launcher.build-seq.txt => 39
2026-02-28T01:12:59.673Z [build-seq] read E:\In-Accord-Apps\dist\launcher-build-win32\In-Accord.Launcher.build-seq.txt => 39
2026-02-28T01:13:01.677Z [build-seq] read E:\In-Accord-Apps\dist\launcher-build-win32\In-Accord.Launcher.build-seq.txt => 39
2026-02-28T01:13:03.690Z [build-seq] read E:\In-Accord-Apps\dist\launcher-build-win32\In-Accord.Launcher.build-seq.txt => 39
2026-02-28T01:13:05.693Z [build-seq] read E:\In-Accord-Apps\dist\launcher-build-win32\In-Accord.Launcher.build-seq.txt => 39
2026-02-28T01:13:07.702Z [build-seq] read E:\In-Accord-Apps\dist\launcher-build-win32\In-Accord.Launcher.build-seq.txt => 39
2026-02-28T01:13:09.706Z [build-seq] read E:\In-Accord-Apps\dist\launcher-build-win32\In-Accord.Launcher.build-seq.txt => 39
2026-02-28T01:13:11.712Z [build-seq] read E:\In-Accord-Apps\dist\launcher-build-win32\In-Accord.Launcher.build-seq.txt => 39
2026-02-28T01:13:13.715Z [build-seq] read E:\In-Accord-Apps\dist\launcher-build-win32\In-Accord.Launcher.build-seq.txt => 39
2026-02-28T01:13:15.722Z [build-seq] read E:\In-Accord-Apps\dist\launcher-build-win32\In-Accord.Launcher.build-seq.txt => 39
2026-02-28T01:13:17.728Z [build-seq] read E:\In-Accord-Apps\dist\launcher-build-win32\In-Accord.Launcher.build-seq.txt => 39
2026-02-28T01:13:19.730Z [build-seq] read E:\In-Accord-Apps\dist\launcher-build-win32\In-Accord.Launcher.build-seq.txt => 39
2026-02-28T01:13:21.745Z [build-seq] read E:\In-Accord-Apps\dist\launcher-build-win32\In-Accord.Launcher.build-seq.txt => 39
2026-02-28T01:13:23.751Z [build-seq] read E:\In-Accord-Apps\dist\launcher-build-win32\In-Accord.Launcher.build-seq.txt => 39
2026-02-28T01:13:25.759Z [build-seq] read E:\In-Accord-Apps\dist\launcher-build-win32\In-Accord.Launcher.build-seq.txt => 39
2026-02-28T01:13:27.765Z [build-seq] read E:\In-Accord-Apps\dist\launcher-build-win32\In-Accord.Launcher.build-seq.txt => 39
2026-02-28T01:13:29.769Z [build-seq] read E:\In-Accord-Apps\dist\launcher-build-win32\In-Accord.Launcher.build-seq.txt => 39
2026-02-28T01:13:31.773Z [build-seq] read E:\In-Accord-Apps\dist\launcher-build-win32\In-Accord.Launcher.build-seq.txt => 39
2026-02-28T01:13:33.786Z [build-seq] read E:\In-Accord-Apps\dist\launcher-build-win32\In-Accord.Launcher.build-seq.txt => 39
2026-02-28T01:13:35.788Z [build-seq] read E:\In-Accord-Apps\dist\launcher-build-win32\In-Accord.Launcher.build-seq.txt => 39
2026-02-28T01:13:37.790Z [build-seq] read E:\In-Accord-Apps\dist\launcher-build-win32\In-Accord.Launcher.build-seq.txt => 39
2026-02-28T01:13:39.793Z [build-seq] read E:\In-Accord-Apps\dist\launcher-build-win32\In-Accord.Launcher.build-seq.txt => 39
2026-02-28T01:13:41.803Z [build-seq] read E:\In-Accord-Apps\dist\launcher-build-win32\In-Accord.Launcher.build-seq.txt => 39
2026-02-28T01:13:43.811Z [build-seq] read E:\In-Accord-Apps\dist\launcher-build-win32\In-Accord.Launcher.build-seq.txt => 39
2026-02-28T01:13:45.819Z [build-seq] read E:\In-Accord-Apps\dist\launcher-build-win32\In-Accord.Launcher.build-seq.txt => 39
2026-02-28T01:13:47.834Z [build-seq] read E:\In-Accord-Apps\dist\launcher-build-win32\In-Accord.Launcher.build-seq.txt => 39
2026-02-28T01:13:49.842Z [build-seq] read E:\In-Accord-Apps\dist\launcher-build-win32\In-Accord.Launcher.build-seq.txt => 39
2026-02-28T01:13:51.851Z [build-seq] read E:\In-Accord-Apps\dist\launcher-build-win32\In-Accord.Launcher.build-seq.txt => 39
2026-02-28T01:13:53.853Z [build-seq] read E:\In-Accord-Apps\dist\launcher-build-win32\In-Accord.Launcher.build-seq.txt => 39
